Score, Title, Reviews Count, Link, Release Date
40.04,40.04,16 Zhang Mahjong,1,https://segaretro.org/16_Zhang_Mahjong,
46.05,46.05,3 Ninjas Kick Back,3,https://segaretro.org/3_Ninjas_Kick_Back,1994-12-01
76.05,76.05,688 Attack Sub,28,https://segaretro.org/688_Attack_Sub,1991-07-01
55.05,55.05,A Bug's Life,3,https://segaretro.org/A_Bug%27s_Life_(Mega_Drive),
75.08,75.08,A Dinosaur's Tale,1,https://segaretro.org/A_Dinosaur%27s_Tale,1993-09-01
53.14,53.14,A Ressha de Ikou MD,5,https://segaretro.org/A_Ressha_de_Ikou_MD,1992-04-10
56.97,56.97,Aa Harimanada,8,https://segaretro.org/Aa_Harimanada,1993-09-03
71.24,71.24,Aaahh!!! Real Monsters,17,https://segaretro.org/Aaahh!!!_Real_Monsters,1995-06-01
40.04,40.04,Action 52,2,https://segaretro.org/Action_52,1992-05-01
67.67,67.67,Addams Family Values,9,https://segaretro.org/Addams_Family_Values,1995-06-01
73.68,73.68,Advanced Busterhawk Gley Lancer,25,https://segaretro.org/Advanced_Busterhawk_Gley_Lancer,1992-07-17
83.82,83.82,Advanced Daisenryaku: Deutsch Dengeki Sakusen,8,https://segaretro.org/Advanced_Daisenryaku:_Deutsch_Dengeki_Sakusen,1991-06-17
50.05,50.05,Adventurous Boy: Mao Xian Xiao Zi,1,https://segaretro.org/Adventurous_Boy:_Mao_Xian_Xiao_Zi,
77.54,77.54,Aero the Acro-Bat,30,https://segaretro.org/Aero_the_Acro-Bat,1993-10-01
74.02,74.02,Aero the Acro-Bat 2,19,https://segaretro.org/Aero_the_Acro-Bat_2,1995-01-01
72.55,72.55,Aerobiz,14,https://segaretro.org/Aerobiz,1992-06-01
68.37,68.37,Aerobiz Supersonic,12,https://segaretro.org/Aerobiz_Supersonic,1994-02-18
75.05,75.05,After Burner II,38,https://segaretro.org/After_Burner_II,1990-03-23
72.51,72.51,Air Buster: Trouble Specialty Raid Unit,25,https://segaretro.org/Air_Buster:_Trouble_Specialty_Raid_Unit,1991-01-31
60.99,60.99,Air Diver,24,https://segaretro.org/Air_Diver,1990-03-09
75.06,75.06,Al Michaels Announces HardBall III,19,https://segaretro.org/Al_Michaels_Announces_HardBall_III,1993-06-01
53.33,53.33,Aladdin 2001,3,https://segaretro.org/Aladdin_2001,
85.59,85.59,Aladdin II,4,https://segaretro.org/Aladdin_II,
66.91,66.91,Alex Kidd in the Enchanted Castle,27,https://segaretro.org/Alex_Kidd_in_the_Enchanted_Castle,1989-02-10
80.00,80.00,Alien 3,47,https://segaretro.org/Alien_3,1992-10-01
73.74,73.74,Alien Soldier,24,https://segaretro.org/Alien_Soldier,1995-02-24
68.46,68.46,Alien Storm,41,https://segaretro.org/Alien_Storm_(Mega_Drive),1991-06-28
79.63,79.63,Alisia Dragoon,34,https://segaretro.org/Alisia_Dragoon,1992-02-01
59.35,59.35,Altered Beast,22,https://segaretro.org/Altered_Beast,1988-11-27
49.65,49.65,American Gladiators,10,https://segaretro.org/American_Gladiators,1993-02-01
61.50,61.50,Andre Agassi Tennis,23,https://segaretro.org/Andre_Agassi_Tennis,1992-12-01
76.81,76.81,Animaniacs,29,https://segaretro.org/Animaniacs,1994-11-01
82.35,82.35,Another World,36,https://segaretro.org/Another_World,1993-03-01
40.04,40.04,Aq Renkan Awa,1,https://segaretro.org/Aq_Renkan_Awa,
38.34,38.34,Arcade Classics,8,https://segaretro.org/Arcade_Classics,1996-06-01
61.68,61.68,Arch Rivals,30,https://segaretro.org/Arch_Rivals,1992-05-01
74.14,74.14,Arcus Odyssey,25,https://segaretro.org/Arcus_Odyssey,1991-06-14
57.72,57.72,Ariel the Little Mermaid,23,https://segaretro.org/Ariel_the_Little_Mermaid,1992-12-01
75.40,75.40,Arnold Palmer Tournament Golf,27,https://segaretro.org/Arnold_Palmer_Tournament_Golf,1989-09-09
60.42,60.42,Arrow Flash,29,https://segaretro.org/Arrow_Flash,1990-10-20
57.59,57.59,Art Alive!,22,https://segaretro.org/Art_Alive!,1991-06-01
61.76,61.76,Art of Fighting,34,https://segaretro.org/Art_of_Fighting,1994-01-14
70.70,70.70,Astérix and the Great Rescue,29,https://segaretro.org/Ast%C3%A9rix_and_the_Great_Rescue_(Mega_Drive),1993-10-01
74.29,74.29,Astérix and the Power of the Gods,19,https://segaretro.org/Ast%C3%A9rix_and_the_Power_of_the_Gods,1995-04-01
64.55,64.55,Atomic Robo-Kid,24,https://segaretro.org/Atomic_Robo-Kid,1990-12-14
72.15,72.15,Atomic Runner,30,https://segaretro.org/Atomic_Runner,1992-06-01
75.73,75.73,ATP Tour Championship Tennis,24,https://segaretro.org/ATP_Tour_Championship_Tennis,1995-03-01
75.08,75.08,Australian Rugby League,5,https://segaretro.org/Australian_Rugby_League,1995-12-01
57.33,57.33,Awesome Possum Kicks Dr. Machino's Butt!,20,https://segaretro.org/Awesome_Possum_Kicks_Dr._Machino%27s_Butt!,1993-11-01
45.33,45.33,AWS Pro Moves Soccer,12,https://segaretro.org/AWS_Pro_Moves_Soccer,1993-11-01
78.46,78.46,Ayrton Senna's Super Monaco GP II,40,https://segaretro.org/Ayrton_Senna%27s_Super_Monaco_GP_II,1992-07-17
67.07,67.07,B.O.B.,33,https://segaretro.org/B.O.B.,1993-08-01
50.41,50.41,Back to the Future Part III,22,https://segaretro.org/Back_to_the_Future_Part_III,1991-06-01
73.43,73.43,Bahamut Senki,5,https://segaretro.org/Bahamut_Senki,1991-03-08
53.38,53.38,Ball Jacks,21,https://segaretro.org/Ball_Jacks,1993-04-23
77.78,77.78,Ballz 3D,27,https://segaretro.org/Ballz_3D,1994-09-01
53.05,53.05,Barbie Super Model,2,https://segaretro.org/Barbie_Super_Model,1993-06-01
51.76,51.76,Barkley Shut Up and Jam 2,10,https://segaretro.org/Barkley_Shut_Up_and_Jam_2,1995-06-01
68.04,68.04,Barkley Shut Up and Jam!,29,https://segaretro.org/Barkley_Shut_Up_and_Jam!,1994-02-01
17.42,17.42,Barney's Hide & Seek Game,5,https://segaretro.org/Barney%27s_Hide_%26_Seek_Game,1993-06-01
54.76,54.76,Bass Masters Classic,4,https://segaretro.org/Bass_Masters_Classic,1995-07-01
59.56,59.56,Bass Masters Classic: Pro Edition,2,https://segaretro.org/Bass_Masters_Classic:_Pro_Edition,1996-10-01
78.05,78.05,Batman,38,https://segaretro.org/Batman,1990-07-27
75.96,75.96,Batman Forever,24,https://segaretro.org/Batman_Forever_(Mega_Drive),1995-09-07
64.42,64.42,Batman Returns,35,https://segaretro.org/Batman_Returns_(Mega_Drive),1992-10-01
65.39,65.39,Batman: Revenge of The Joker,23,https://segaretro.org/Batman:_Revenge_of_The_Joker,1992-11-01
51.98,51.98,Battle Golfer Yui,11,https://segaretro.org/Battle_Golfer_Yui,1991-02-15
68.81,68.81,Battle Mania Daiginjou,7,https://segaretro.org/Battle_Mania_Daiginjou,1993-12-24
77.59,77.59,Battle Squadron,25,https://segaretro.org/Battle_Squadron,1990-12-01
68.76,68.76,Battlemaster,8,https://segaretro.org/Battlemaster,1991-11-01
78.72,78.72,Battletech: A Game of Armored Combat,18,https://segaretro.org/Battletech:_A_Game_of_Armored_Combat,1994-09-01
71.29,71.29,Battletoads,35,https://segaretro.org/Battletoads,1993-03-01
50.63,50.63,Battletoads/Double Dragon: The Ultimate Team,8,https://segaretro.org/Battletoads/Double_Dragon:_The_Ultimate_Team,1993-12-01
43.17,43.17,Beast Wrestler,19,https://segaretro.org/Beast_Wrestler,1991-11-29
49.23,49.23,Beauty and the Beast: Belle's Quest,13,https://segaretro.org/Beauty_and_the_Beast:_Belle%27s_Quest,1993-06-01
49.55,49.55,Beauty and the Beast: Roar of the Beast,16,https://segaretro.org/Beauty_and_the_Beast:_Roar_of_the_Beast,1993-06-01
62.96,62.96,Beavis and Butt-Head,26,https://segaretro.org/Beavis_and_Butt-Head_(Mega_Drive),1994-10-01
60.35,60.35,Best of the Best: Championship Karate,16,https://segaretro.org/Best_of_the_Best:_Championship_Karate,1993-01-29
73.17,73.17,Bill Walsh College Football,28,https://segaretro.org/Bill_Walsh_College_Football,1993-08-01
71.17,71.17,Bill Walsh College Football '95,5,https://segaretro.org/Bill_Walsh_College_Football_%2795,1994-09-01
54.85,54.85,Bimini Run,13,https://segaretro.org/Bimini_Run,1991-05-01
75.28,75.28,Bio-Hazard Battle,29,https://segaretro.org/Bio-Hazard_Battle,1992-10-30
52.21,52.21,Bishoujo Senshi Sailor Moon,6,https://segaretro.org/Bishoujo_Senshi_Sailor_Moon,1994-07-08
66.20,66.20,Blades of Vengeance,32,https://segaretro.org/Blades_of_Vengeance,1993-12-01
73.02,73.02,Blaster Master 2,15,https://segaretro.org/Blaster_Master_2,1993-06-01
76.47,76.47,Blockout,30,https://segaretro.org/Blockout,1991-06-01
69.14,69.14,Bloodshot,21,https://segaretro.org/Bloodshot,1995-01-01
56.15,56.15,Blue Almanac,8,https://segaretro.org/Blue_Almanac,1991-06-22
72.93,72.93,Body Count,15,https://segaretro.org/Body_Count,1994-07-01
65.60,65.60,Bonanza Bros.,36,https://segaretro.org/Bonanza_Bros.,1991-05-17
65.69,65.69,Bonkers,16,https://segaretro.org/Bonkers,1994-10-01
76.38,76.38,Boogerman: A Pick and Flick Adventure,34,https://segaretro.org/Boogerman:_A_Pick_and_Flick_Adventure,1994-11-18
68.68,68.68,Boxing Legends of The Ring,14,https://segaretro.org/Boxing_Legends_of_The_Ring,1993-10-01
55.08,55.08,Bram Stoker's Dracula,13,https://segaretro.org/Bram_Stoker%27s_Dracula_(Mega_Drive),1993-06-01
77.58,77.58,BreakThru!,2,https://segaretro.org/BreakThru!,
53.89,53.89,Brett Hull Hockey '95,14,https://segaretro.org/Brett_Hull_Hockey_%2795,1994-12-01
79.67,79.67,Brian Lara Cricket,9,https://segaretro.org/Brian_Lara_Cricket,1995-05-12
81.67,81.67,Brian Lara Cricket 96,6,https://segaretro.org/Brian_Lara_Cricket_96,1996-05-17
70.79,70.79,Brutal: Paws of Fury,7,https://segaretro.org/Brutal:_Paws_of_Fury,1994-06-01
79.03,79.03,Bubba 'N' Stix,40,https://segaretro.org/Bubba_%27N%27_Stix,1994-06-01
74.12,74.12,Bubble and Squeak,13,https://segaretro.org/Bubble_and_Squeak,1994-07-01
80.20,80.20,Bubsy II,28,https://segaretro.org/Bubsy_II,1994-10-15
81.78,81.78,Bubsy in Claws Encounters of the Furred Kind,36,https://segaretro.org/Bubsy_in_Claws_Encounters_of_the_Furred_Kind,1993-07-01
81.90,81.90,Buck Rogers: Countdown to Doomsday,29,https://segaretro.org/Buck_Rogers:_Countdown_to_Doomsday,1991-12-01
71.04,71.04,Budokan: The Martial Spirit,28,https://segaretro.org/Budokan:_The_Martial_Spirit,1990-07-01
62.56,62.56,Bugs Bunny in Double Trouble,22,https://segaretro.org/Bugs_Bunny_in_Double_Trouble,1996-07-01
67.93,67.93,Bulls versus Blazers and the NBA Playoffs,19,https://segaretro.org/Bulls_versus_Blazers_and_the_NBA_Playoffs,1993-02-28
73.63,73.63,Bulls vs Lakers and the NBA Playoffs,30,https://segaretro.org/Bulls_vs_Lakers_and_the_NBA_Playoffs,1992-06-01
59.37,59.37,Burning Force,32,https://segaretro.org/Burning_Force,1990-10-19
65.86,65.86,Cadash,17,https://segaretro.org/Cadash,1992-04-01
59.83,59.83,Caesars Palace,6,https://segaretro.org/Caesars_Palace,1994-02-01
64.86,64.86,Cal Ripken Jr. Baseball,7,https://segaretro.org/Cal_Ripken_Jr._Baseball,1992-06-01
46.22,46.22,Caliber.50,9,https://segaretro.org/Caliber.50,1991-12-01
74.48,74.48,California Games,28,https://segaretro.org/California_Games,1991-12-01
85.48,85.48,Cannon Fodder,27,https://segaretro.org/Cannon_Fodder,1995-01-01
53.12,53.12,Captain America and the Avengers,30,https://segaretro.org/Captain_America_and_the_Avengers,1992-12-01
49.47,49.47,Captain Planet and the Planeteers,17,https://segaretro.org/Captain_Planet_and_the_Planeteers,1993-06-01
87.50,87.50,Castle of Illusion Starring Mickey Mouse,44,https://segaretro.org/Castle_of_Illusion_Starring_Mickey_Mouse_(Mega_Drive),1990-11-21
78.41,78.41,Castlevania: Bloodlines,44,https://segaretro.org/Castlevania:_Bloodlines,1993-12-01
66.03,66.03,Centurion: Defender of Rome,24,https://segaretro.org/Centurion:_Defender_of_Rome,1991-07-01
73.48,73.48,Chakan,32,https://segaretro.org/Chakan_(Mega_Drive),1992-11-01
47.38,47.38,Champions World Class Soccer,19,https://segaretro.org/Champions_World_Class_Soccer,1994-06-01
42.96,42.96,Championship Bowling,16,https://segaretro.org/Championship_Bowling,1993-06-01
53.33,53.33,Championship Pool,3,https://segaretro.org/Championship_Pool,1994-04-01
64.54,64.54,Championship Pro-Am,19,https://segaretro.org/Championship_Pro-Am,1992-06-01
53.76,53.76,Chase H.Q. II,16,https://segaretro.org/Chase_H.Q._II,1992-10-23
69.44,69.44,Cheese Cat-Astrophe Starring Speedy Gonzales,16,https://segaretro.org/Cheese_Cat-Astrophe_Starring_Speedy_Gonzales,1995-05-01
82.08,82.08,Chess,2,https://segaretro.org/Chess_(Mega_Drive),
44.95,44.95,Chester Cheetah: Too Cool to Fool,10,https://segaretro.org/Chester_Cheetah:_Too_Cool_to_Fool,1993-02-01
39.19,39.19,Chester Cheetah: Wild Wild Quest,13,https://segaretro.org/Chester_Cheetah:_Wild_Wild_Quest,1994-01-01
44.85,44.85,Chi Chi's Pro Challenge Golf,10,https://segaretro.org/Chi_Chi%27s_Pro_Challenge_Golf,1993-06-25
57.93,57.93,Chibi Maruko-chan: Waku Waku Shopping,6,https://segaretro.org/Chibi_Maruko-chan:_Waku_Waku_Shopping,1992-01-14
70.51,70.51,Chiki Chiki Boys,35,https://segaretro.org/Chiki_Chiki_Boys,1992-10-16
66.39,66.39,Chou Kyuukai Miracle Nine,3,https://segaretro.org/Chou_Kyuukai_Miracle_Nine,1995-07-21
83.54,83.54,Chuck Rock,31,https://segaretro.org/Chuck_Rock,1991-12-01
77.44,77.44,Chuck Rock II: Son of Chuck,33,https://segaretro.org/Chuck_Rock_II:_Son_of_Chuck,1993-09-01
50.05,50.05,Classic Collection,2,https://segaretro.org/Classic_Collection,1996-06-01
64.73,64.73,ClayFighter,22,https://segaretro.org/ClayFighter,1994-12-01
47.45,47.45,Cliffhanger,10,https://segaretro.org/Cliffhanger,1993-11-01
60.26,60.26,Clue,12,https://segaretro.org/Clue,1992-12-01
75.83,75.83,Coach K College Basketball,9,https://segaretro.org/Coach_K_College_Basketball,1995-03-01
71.17,71.17,College Football USA 96,6,https://segaretro.org/College_Football_USA_96,1995-07-15
61.36,61.36,College Football USA 97,5,https://segaretro.org/College_Football_USA_97,1996-09-01
74.07,74.07,College Football's National Championship,4,https://segaretro.org/College_Football%27s_National_Championship,1994-08-01
57.33,57.33,College Football's National Championship II,3,https://segaretro.org/College_Football%27s_National_Championship_II,1995-11-01
68.97,68.97,College Slam,5,https://segaretro.org/College_Slam,1996-02-29
73.25,73.25,Columns III: Revenge of Columns,16,https://segaretro.org/Columns_III:_Revenge_of_Columns,1993-10-15
69.38,69.38,Combat Cars,29,https://segaretro.org/Combat_Cars,1994-06-01
84.10,84.10,Comix Zone,37,https://segaretro.org/Comix_Zone,1995-07-01
70.07,70.07,Commandos,1,https://segaretro.org/Commandos_(Mega_Drive),
80.31,80.31,Contra: Hard Corps,34,https://segaretro.org/Contra:_Hard_Corps,1994-09-01
84.64,84.64,Cool Spot,45,https://segaretro.org/Cool_Spot,1993-04-01
74.52,74.52,Corporation,31,https://segaretro.org/Corporation,1992-09-01
72.06,72.06,Cosmic Spacehead,30,https://segaretro.org/Cosmic_Spacehead,1993-06-01
69.65,69.65,Crack Down,32,https://segaretro.org/Crack_Down,1990-12-20
54.55,54.55,Crayon Shin-chan: Arashi o Yobu Enji,4,https://segaretro.org/Crayon_Shin-chan:_Arashi_o_Yobu_Enji,1994-03-11
67.16,67.16,Crüe Ball,36,https://segaretro.org/Cr%C3%BCe_Ball,1992-09-01
41.54,41.54,Cross Fire,2,https://segaretro.org/Cross_Fire,1991-06-01
82.06,82.06,Crusader of Centy,37,https://segaretro.org/Crusader_of_Centy,1994-06-17
52.55,52.55,Crystal's Pony Tale,2,https://segaretro.org/Crystal%27s_Pony_Tale,1994-10-01
52.31,52.31,Curse,23,https://segaretro.org/Curse,1989-12-23
61.64,61.64,Cutie Suzuki no Ringside Angel,20,https://segaretro.org/Cutie_Suzuki_no_Ringside_Angel,1990-12-12
45.81,45.81,Cutthroat Island,13,https://segaretro.org/Cutthroat_Island,1995-06-01
60.59,60.59,CyberBall,25,https://segaretro.org/CyberBall,1990-06-01
67.98,67.98,Cyborg Justice,30,https://segaretro.org/Cyborg_Justice,1993-04-01
64.87,64.87,Daffy Duck in Hollywood,23,https://segaretro.org/Daffy_Duck_in_Hollywood,1995-01-01
59.46,59.46,Dahna Megami Tanjou,13,https://segaretro.org/Dahna_Megami_Tanjou,1991-12-20
69.74,69.74,Daikoukai Jidai II,8,https://segaretro.org/Daikoukai_Jidai_II,1994-06-24
61.52,61.52,Dangerous Seed,20,https://segaretro.org/Dangerous_Seed,1990-12-18
74.05,74.05,Darius II,28,https://segaretro.org/Darius_II,1990-12-20
39.76,39.76,Dark Castle,20,https://segaretro.org/Dark_Castle,1991-10-16
67.08,67.08,Darwin 4081,17,https://segaretro.org/Darwin_4081,1990-04-07
65.27,65.27,Dashin' Desperadoes,13,https://segaretro.org/Dashin%27_Desperadoes,1993-09-01
76.33,76.33,David Crane's Amazing Tennis,19,https://segaretro.org/David_Crane%27s_Amazing_Tennis,1993-03-01
76.27,76.27,David Robinson's Supreme Court,36,https://segaretro.org/David_Robinson%27s_Supreme_Court,1992-06-01
80.84,80.84,Davis Cup Tennis,34,https://segaretro.org/Davis_Cup_Tennis,1993-07-01
53.85,53.85,Daze Before Christmas,5,https://segaretro.org/Daze_Before_Christmas,
62.64,62.64,Deadly Moves,25,https://segaretro.org/Deadly_Moves,1992-06-01
35.03,35.03,Death Caliber,2,https://segaretro.org/Death_Caliber,
58.86,58.86,Death Duel,15,https://segaretro.org/Death_Duel,1992-10-01
76.69,76.69,Decap Attack,28,https://segaretro.org/Decap_Attack,1991-09-01
10.01,10.01,Deer Hunter,1,https://segaretro.org/Deer_Hunter,
72.05,72.05,Demolition Man,19,https://segaretro.org/Demolition_Man,1995-01-01
67.35,67.35,Desert Demolition Starring Road Runner and Wile E. Coyote,29,https://segaretro.org/Desert_Demolition_Starring_Road_Runner_and_Wile_E._Coyote,1995-02-01
84.23,84.23,Desert Strike: Return to the Gulf,50,https://segaretro.org/Desert_Strike:_Return_to_the_Gulf,1992-03-01
62.50,62.50,Devilish: The Next Possession,22,https://segaretro.org/Devilish:_The_Next_Possession,1992-04-01
72.76,72.76,Dick Tracy,36,https://segaretro.org/Dick_Tracy,1991-02-01
61.26,61.26,Dick Vitale's "Awesome, Baby!" College Hoops,5,https://segaretro.org/Dick_Vitale%27s_%22Awesome,_Baby!%22_College_Hoops,1994-09-01
76.09,76.09,Dino Dini's Soccer,16,https://segaretro.org/Dino_Dini%27s_Soccer,1994-12-01
54.04,54.04,Dino Land,18,https://segaretro.org/Dino_Land,1991-08-02
64.39,64.39,Dinosaurs for Hire,14,https://segaretro.org/Dinosaurs_for_Hire,1993-05-01
87.74,87.74,Disney's Aladdin,58,https://segaretro.org/Disney%27s_Aladdin,1993-11-01
80.08,80.08,Divine Sealing,1,https://segaretro.org/Divine_Sealing,1992-05-01
64.82,64.82,DJ Boy,35,https://segaretro.org/DJ_Boy,1990-05-19
77.86,77.86,Donald in Maui Mallard,20,https://segaretro.org/Donald_in_Maui_Mallard,1995-11-01
55.59,55.59,Doom Troopers,10,https://segaretro.org/Doom_Troopers,1995-11-01
63.49,63.49,Doraemon: Yume Dorobou to 7 Nin no Gozans,8,https://segaretro.org/Doraemon:_Yume_Dorobou_to_7_Nin_no_Gozans,1993-03-26
54.79,54.79,Double Clutch,19,https://segaretro.org/Double_Clutch,1993-08-01
56.95,56.95,Double Dragon,22,https://segaretro.org/Double_Dragon,1992-04-01
44.40,44.40,Double Dragon 3: The Rosetta Stone,18,https://segaretro.org/Double_Dragon_3:_The_Rosetta_Stone,1993-02-01
39.93,39.93,Double Dragon II: The Revenge,19,https://segaretro.org/Double_Dragon_II:_The_Revenge,1991-12-20
58.31,58.31,Double Dragon V: The Shadow Falls,8,https://segaretro.org/Double_Dragon_V:_The_Shadow_Falls,1994-08-05
81.04,81.04,Dr. Robotnik's Mean Bean Machine,33,https://segaretro.org/Dr._Robotnik%27s_Mean_Bean_Machine,1993-12-01
74.97,74.97,Dragon Ball Z: Buyuu Retsuden,17,https://segaretro.org/Dragon_Ball_Z:_Buyuu_Retsuden,1994-04-01
63.51,63.51,Dragon Slayer: The Legend of Heroes,6,https://segaretro.org/Dragon_Slayer:_The_Legend_of_Heroes,1994-09-16
61.56,61.56,Dragon Slayer: The Legend of Heroes II,5,https://segaretro.org/Dragon_Slayer:_The_Legend_of_Heroes_II,1995-01-20
76.08,76.08,Dragon: The Bruce Lee Story,28,https://segaretro.org/Dragon:_The_Bruce_Lee_Story,1994-10-01
60.60,60.60,Dragon's Eye Plus: Shanghai III,9,https://segaretro.org/Dragon%27s_Eye_Plus:_Shanghai_III,1991-11-02
83.29,83.29,Dragon's Fury,44,https://segaretro.org/Dragon%27s_Fury,1991-10-10
73.88,73.88,Dragon's Revenge,29,https://segaretro.org/Dragon%27s_Revenge,1993-11-01
72.67,72.67,Duke Nukem 3D,3,https://segaretro.org/Duke_Nukem_3D_(Mega_Drive),
87.89,87.89,Dune II: Battle for Arrakis,40,https://segaretro.org/Dune_II:_Battle_for_Arrakis,1994-05-01
73.07,73.07,Dungeon Master II: Skullkeep,1,https://segaretro.org/Dungeon_Master_II:_Skullkeep,
73.98,73.98,Dungeons & Dragons: Warriors of the Eternal Sun,30,https://segaretro.org/Dungeons_%26_Dragons:_Warriors_of_the_Eternal_Sun,1992-08-01
71.78,71.78,Dyna Brothers,7,https://segaretro.org/Dyna_Brothers,1992-07-24
70.06,70.06,Dyna Brothers 2,6,https://segaretro.org/Dyna_Brothers_2,1993-12-03
65.56,65.56,Dynamite Duke,29,https://segaretro.org/Dynamite_Duke,1990-10-27
82.88,82.88,Dynamite Headdy,36,https://segaretro.org/Dynamite_Headdy,1994-08-05
87.16,87.16,EA Hockey,40,https://segaretro.org/EA_Hockey,1991-08-01
60.17,60.17,Earnest Evans,9,https://segaretro.org/Earnest_Evans,1992-03-01
39.33,39.33,Earth Defense,3,https://segaretro.org/Earth_Defense,1995-06-01
89.48,89.48,Earthworm Jim,44,https://segaretro.org/Earthworm_Jim,
89.36,89.36,Earthworm Jim 2,31,https://segaretro.org/Earthworm_Jim_2,1995-11-15
69.10,69.10,Ecco Jr.,8,https://segaretro.org/Ecco_Jr.,1995-04-01
86.50,86.50,Ecco the Dolphin,49,https://segaretro.org/Ecco_the_Dolphin,1992-12-01
76.64,76.64,Ecco: The Tides of Time,33,https://segaretro.org/Ecco:_The_Tides_of_Time,1994-08-26
73.40,73.40,El Viento,24,https://segaretro.org/El_Viento,1991-09-20
72.93,72.93,Elemental Master,27,https://segaretro.org/Elemental_Master,1990-12-14
67.68,67.68,Eliminate Down,6,https://segaretro.org/Eliminate_Down,1993-06-25
60.33,60.33,ESPN Baseball Tonight,3,https://segaretro.org/ESPN_Baseball_Tonight,1994-05-01
60.56,60.56,ESPN National Hockey Night,5,https://segaretro.org/ESPN_National_Hockey_Night,1994-12-01
34.71,34.71,ESPN Speedworld,7,https://segaretro.org/ESPN_Speedworld,1994-12-01
55.17,55.17,ESPN Sunday Night NFL,3,https://segaretro.org/ESPN_Sunday_Night_NFL,1994-12-01
